dataset,method,test_loss,val_loss,layers,nodes,learnrate,beta1,beta2,epsilon,weight,
housing,PBT,30.361328125,27.421035766601562,5.0,256.0,0.0018916543137645586,0.99,0.8,2.0716111727904504e-08,0.04023476219448049,
housing,PBT,29.73053741455078,25.88481330871582,4.0,64.0,0.0018656085695822786,0.8,0.8,1.6304552560969742e-10,1.15366081031417e-05,
housing,PBT,35.933589935302734,39.29796600341797,1.0,32.0,1.4141410181025016e-05,0.99,0.9999999999,1.768469187537954e-08,0.00016153166959967754,
housing,PBT,26.94671630859375,27.98859214782715,6.0,532.0,0.0017655203059573567,0.99,0.8640738787496067,9.123296733370332e-09,0.08909031950202903,
housing,PBT,25.063072204589844,23.933700561523438,3.0,64.0,0.004211547720500453,0.99,0.919179774070766,4.247047142333039e-08,0.0057534848143505225,
housing,PBT,29.62891960144043,33.813255310058594,1.0,256.0,0.007015601005902357,0.9643885880694207,0.8,3.692812398391194e-08,0.03322749384591456,
