housing,PBT,25.873411178588867,23.704309463500977,5.0,64.0,0.009374020212680061,0.8632816211116221,0.99999,1.5329635051751435e-08,0.05148442025985581,955.8410222530365,15842.214423942,
housing,PBT,25.388811111450195,20.980344772338867,5.0,32.0,0.005862727272727273,0.9429292929292928,0.99494,9.5e-08,0.014141414141414142,2056.33048248291,35252.386486539,
MNIST,PBT,0.08594780582934618,0.08866039818773667,5.0,532.0,0.0005093802056309927,0.85,0.9,6.970692041043532e-08,0.0010462878622254058,20139.744057893753,462522.789309774,
housing,PBT,24.798795700073242,23.161298751831055,4.0,32.0,0.009471516448451789,0.9150410458340608,0.9943231642211927,9.341768266195827e-08,0.04016948101076241,1588.3687031269073,30344.38836824504,
MNIST,PBT,0.14956592116504908,0.1520883853857716,5.0,256.0,0.0020281818181818183,0.9025252525252525,0.9888800000000001,8.2e-08,0.02727272727272727,136.35969758033752,3261.7865710140004,
housing,PBT,84.92496490478516,138.6846923828125,3.0,32.0,0.004752727272727273,0.9469696969696969,0.95959,2.2000000000000002e-08,0.03939393939393939,3.11103892326355,51.76824132999991,
NKI,PBT,54752.78125,49858.82421875,1.0,64.0,0.007679090909090909,0.8893939393939394,0.9303,2.9e-08,0.0101010101010101,14.396148920059204,113.81125435700005,
MNIST,PBT,0.07141635324805976,0.07908708113245666,4.0,256.0,0.00011090909090909092,0.9358585858585858,0.9494900000000001,9e-08,0.01616161616161616,20545.78854584694,472692.7578751,
housing,PBT,24.861358642578125,22.402341842651367,2.0,64.0,0.009596363636363637,0.9106060606060605,0.91818,7.4e-08,0.06363636363636363,1681.935745716095,32357.099034416024,
NKI,PBT,9926.896484375,10541.1650390625,5.0,256.0,0.0028354545454545455,0.9479797979797979,0.95757,1.8e-08,0.07171717171717172,17860.63042283058,125759.76450670097,
